"No.","Time","Source","Destination","Protocol","Length","Info"
"266","12.846902","192.168.0.108","192.168.0.102","TCP","54","1846  >  0 [SYN] Seq=0 Win=512 Len=0"
"267","12.846902","192.168.0.108","192.168.0.102","TCP","54","1847  >  0 [SYN] Seq=0 Win=512 Len=0"
"268","12.846902","192.168.0.108","192.168.0.102","TCP","54","1848  >  0 [SYN] Seq=0 Win=512 Len=0"
"269","12.846902","192.168.0.108","192.168.0.102","TCP","54","1849  >  0 [SYN] Seq=0 Win=512 Len=0"
"270","12.846902","192.168.0.108","192.168.0.102","TCP","54","1850  >  0 [SYN] Seq=0 Win=512 Len=0"
"271","12.846902","192.168.0.108","192.168.0.102","TCP","54","1851  >  0 [SYN] Seq=0 Win=512 Len=0"
"272","12.846902","192.168.0.108","192.168.0.102","TCP","54","1852  >  0 [SYN] Seq=0 Win=512 Len=0"
"273","12.846902","192.168.0.108","192.168.0.102","TCP","54","1853  >  0 [SYN] Seq=0 Win=512 Len=0"
"274","12.846902","192.168.0.108","192.168.0.102","TCP","54","1854  >  0 [SYN] Seq=0 Win=512 Len=0"
"275","12.847554","192.168.0.108","192.168.0.102","TCP","54","1855  >  0 [SYN] Seq=0 Win=512 Len=0"
"276","12.847554","192.168.0.108","192.168.0.102","TCP","54","1856  >  0 [SYN] Seq=0 Win=512 Len=0"
"277","12.847554","192.168.0.108","192.168.0.102","TCP","54","1857  >  0 [SYN] Seq=0 Win=512 Len=0"
"278","12.847554","192.168.0.108","192.168.0.102","TCP","54","1858  >  0 [SYN] Seq=0 Win=512 Len=0"
"279","12.847554","192.168.0.108","192.168.0.102","TCP","54","1859  >  0 [SYN] Seq=0 Win=512 Len=0"
"280","12.847554","192.168.0.108","192.168.0.102","TCP","54","1860  >  0 [SYN] Seq=0 Win=512 Len=0"
"281","12.847554","192.168.0.108","192.168.0.102","TCP","54","1861  >  0 [SYN] Seq=0 Win=512 Len=0"
"282","12.847554","192.168.0.108","192.168.0.102","TCP","54","1862  >  0 [SYN] Seq=0 Win=512 Len=0"
"283","12.847554","192.168.0.108","192.168.0.102","TCP","54","1863  >  0 [SYN] Seq=0 Win=512 Len=0"
"284","12.847554","192.168.0.108","192.168.0.102","TCP","54","1864  >  0 [SYN] Seq=0 Win=512 Len=0"
"285","12.847554","192.168.0.108","192.168.0.102","TCP","54","1865  >  0 [SYN] Seq=0 Win=512 Len=0"
"286","12.847966","192.168.0.108","192.168.0.102","TCP","54","1866  >  0 [SYN] Seq=0 Win=512 Len=0"
"287","12.847966","192.168.0.108","192.168.0.102","TCP","54","1867  >  0 [SYN] Seq=0 Win=512 Len=0"
"288","12.847966","192.168.0.108","192.168.0.102","TCP","54","1868  >  0 [SYN] Seq=0 Win=512 Len=0"
"289","12.847966","192.168.0.108","192.168.0.102","TCP","54","1869  >  0 [SYN] Seq=0 Win=512 Len=0"
"290","12.847966","192.168.0.108","192.168.0.102","TCP","54","1870  >  0 [SYN] Seq=0 Win=512 Len=0"
"291","12.847966","192.168.0.108","192.168.0.102","TCP","54","1871  >  0 [SYN] Seq=0 Win=512 Len=0"
"292","12.847966","192.168.0.108","192.168.0.102","TCP","54","1872  >  0 [SYN] Seq=0 Win=512 Len=0"
"293","12.847966","192.168.0.108","192.168.0.102","TCP","54","1873  >  0 [SYN] Seq=0 Win=512 Len=0"
"294","12.847966","192.168.0.108","192.168.0.102","TCP","54","1874  >  0 [SYN] Seq=0 Win=512 Len=0"
"295","12.847966","192.168.0.108","192.168.0.102","TCP","54","1875  >  0 [SYN] Seq=0 Win=512 Len=0"
"296","12.847966","192.168.0.108","192.168.0.102","TCP","54","1876  >  0 [SYN] Seq=0 Win=512 Len=0"
"297","12.848319","192.168.0.108","192.168.0.102","TCP","54","1877  >  0 [SYN] Seq=0 Win=512 Len=0"
"298","12.848319","192.168.0.108","192.168.0.102","TCP","54","1878  >  0 [SYN] Seq=0 Win=512 Len=0"
"299","12.848319","192.168.0.108","192.168.0.102","TCP","54","1879  >  0 [SYN] Seq=0 Win=512 Len=0"
