"No.","Time","Source","Destination","Protocol","Length","Info"
"411","97.744865","192.168.0.104","192.168.0.103","TCP","74","58270  >  73 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015495150 TSecr=0 WS=128"
"412","98.778403","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 58270  >  73 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015496179 TSecr=0 WS=128"
"421","99.801090","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 58270  >  73 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015497203 TSecr=0 WS=128"
"428","100.831425","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 58270  >  73 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015498227 TSecr=0 WS=128"
"433","101.848872","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 58270  >  73 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015499251 TSecr=0 WS=128"
"434","102.873347","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 58270  >  73 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015500275 TSecr=0 WS=128"
"437","104.885741","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 58270  >  73 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015502291 TSecr=0 WS=128"
"514","124.172844","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"517","124.683542","192.168.0.104","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"550","133.695960","192.168.0.104","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"614","147.520277","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"799","180.286162","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"804","180.802934","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"829","182.437076","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
